id;name;from_date;end_date;end_inscription_date;status;create_date;updated_date
1;SMTP;2019-11-15;2019-11-15;2019-11-16;IN_PROGRESS;2019-11-15T12:49:08;2019-11-15T13:52:38
2;connecting solution connecting;2019-11-15;2019-11-15;2019-11-15;IN_PROGRESS;2019-11-15T07:10:59;2019-11-15T06:28:28
3;payment digital;2019-11-15;2019-11-15;2019-11-15;IN_PROGRESS;2019-11-15T11:08:54;2019-11-15T10:01:37
4;Jamaica Unbranded;2019-11-15;2019-11-15;2019-11-15;CREATED;2019-11-15T10:22:35;2019-11-15T12:44:24
5;CFP Franc back-end Via;2019-11-15;2019-11-15;2019-11-15;IN_PROGRESS;2019-11-15T13:29:01;2019-11-15T16:58:06
6;orchid;2019-11-15;2019-11-15;2019-11-15;IN_PROGRESS;2019-11-15T22:13:59;2019-11-15T11:16:19
7;enable;2019-11-15;2019-11-15;2019-11-15;IN_PROGRESS;2019-11-15T03:47:01;2019-11-15T04:19:22
8;Buckinghamshire Officer;2019-11-15;2019-11-15;2019-11-15;IN_PROGRESS;2019-11-15T18:37:12;2019-11-15T16:57:48
9;Movies;2019-11-15;2019-11-15;2019-11-15;CREATED;2019-11-15T13:13:28;2019-11-15T17:23:02
10;alliance Licensed Plaza;2019-11-15;2019-11-15;2019-11-15;DONE;2019-11-15T05:57:27;2019-11-15T23:16:40
