id;active;profile;create_date;updated_date
1;false;STAFF;2019-11-15T22:30:20;2019-11-15T11:00:40
2;false;PLAYER;2019-11-15T02:59:52;2019-11-15T04:53:21
3;true;STAFF;2019-11-15T20:23:11;2019-11-15T20:57:24
4;false;STAFF;2019-11-15T11:31:09;2019-11-16T00:09:07
5;true;PLAYER;2019-11-15T05:30:12;2019-11-15T21:21:50
6;false;PLAYER;2019-11-15T04:15:13;2019-11-15T11:11:13
7;false;PLAYER;2019-11-15T10:19:41;2019-11-15T18:04:24
8;true;PLAYER;2019-11-15T16:05:35;2019-11-15T12:32:31
9;true;STAFF;2019-11-15T12:16:41;2019-11-15T22:30:03
10;false;PLAYER;2019-11-15T06:15:00;2019-11-15T04:13:10
