id;name;close_inscr_days;status;create_date;updated_date
1;Glen Refined;52837;DONE;2019-11-16T01:00:52;2019-11-15T01:50:13
2;Arizona success Sleek Frozen Chips;91911;DONE;2019-11-15T02:02:36;2019-11-15T23:29:45
3;Tuna magenta;29449;IN_PROGRESS;2019-11-15T03:40:43;2019-11-15T07:36:58
4;Product;95870;CREATED;2019-11-15T20:47:29;2019-11-15T09:46:55
5;facilitate Persevering;26593;CREATED;2019-11-15T01:38:15;2019-11-15T14:25:43
6;Beauty dynamic schemas;60278;DONE;2019-11-15T02:30:41;2019-11-15T15:18:25
7;New Mexico District Unbranded;87666;DONE;2019-11-15T05:51:11;2019-11-15T13:46:39
8;Liaison engage navigate;39298;CREATED;2019-11-15T18:44:40;2019-11-16T00:58:41
9;Refined;69171;IN_PROGRESS;2019-11-15T06:51:03;2019-11-15T07:52:46
10;program enhance Multi-channelled;20504;CREATED;2019-11-15T10:45:29;2019-11-15T20:19:58
